27_86_beat1,27_86_beat2,27_86_beat3,27_27_beat4,27_75_beat5,27_63_beat6,27_82_beat7,27_82_beat8,27_82_beat9,27_79_beat10,27_79_beat11,27_79_beat12,27_90_beat13,27_90_beat14,27_90_beat15,27_80_beat16,27_13_beat17,27_13_beat18,27_23_beat19,27_23_beat20,27_23_beat21,27_83_beat22,27_83_beat23,27_83_beat24,27_83_beat25,27_19_beat1
-0.0093895367287534,0.0458103516069409,0.0725269415430898,0.0151716528093649,0.071974303038646,-0.0268932192317481,0.0597238873557872,0.0686858342426145,0.0624898859133223,0.0679720086563726,0.0832204159147721,0.0848710900595429,0.1397369285615257,0.0311671400278152,0.0632566948057673,0.039032413830814,0.0703666210211195,0.1226162750968758,0.0539358238224526,0.0078139820012721,0.0217632962423116,0.1911275805095052,0.1108279223404613,0.010582860251015,0.096279429022634,
-0.0082887479805649,0.0495473153157577,0.0776248585444003,0.0164110947762499,0.0741028180513364,-0.0252340303002824,0.0587610261318131,0.0688580484849927,0.0663142743519155,0.0668297292355727,0.0824468755360264,0.0880636307984504,0.1402763251788826,0.0317362065018153,0.0629033388851872,0.0405371824187398,0.0811978917860807,0.1246774985446678,0.0590604750519526,0.0115703336965625,0.0229561140804405,0.1993726653173194,0.118474061222936,0.0195952576864649,0.1185823929035382,
-0.0079014625458278,0.0522403501015572,0.0816806922088047,0.0172036322293913,0.075191935804212,-0.0244028314334062,0.0571409143694639,0.0681671280647983,0.0690467605552913,0.0649299639379415,0.0806943956291581,0.0900485235584293,0.1403218775227178,0.0315329806402484,0.0618994126885366,0.0409456611437312,0.0908637553353183,0.1261669270385625,0.0635837536269723,0.0148253210720412,0.0236616517372589,0.2064798143970123,0.1254280232066568,0.027932798721823,0.1398471789142262,
-0.008117513218498,0.0539407834777028,0.0846981703958463,0.0175750557612111,0.0753098107122711,-0.0243645791530554,0.054983943633653,0.0667172004350029,0.0707350906345813,0.0623936706748017,0.0780772499949586,0.0908825981913296,0.139949062366997,0.0306425377736053,0.0603562312555101,0.0403555410636477,0.099228083443824,0.1270554805935158,0.0674404360056912,0.0175481346292277,0.0239128508739327,0.2123733532839489,0.1315535479468159,0.0354502909620315,0.1598040329441898,
-0.0088210954572863,0.0547215650677913,0.0867065809426668,0.0175605104685374,0.0745451339251333,-0.0250638987021087,0.0524142330263595,0.0646235841998437,0.0714500462400079,0.059351161983391,0.0747251440251718,0.0906469973842696,0.1392276120604625,0.0291647300780365,0.0583878125455534,0.0388846051521459,0.1061885878119478,0.1273332733106137,0.0705841478580993,0.0197231750174718,0.0237523994797186,0.2170079817105731,0.1367398583200647,0.0420273451380747,0.1782174342380984,
-0.0098947584073946,0.0546738462631929,0.0877586001317305,0.0172028634673467,0.0730034128415518,-0.0264274294787435,0.0495555699900548,0.0620086604660218,0.071281996911955,0.0559376267798954,0.0707786161308599,0.0894435948823711,0.1382200670395494,0.0272099453266577,0.0561068853075968,0.0366661521681379,0.111678637726214,0.1270103026615358,0.0729880605775774,0.0213498999560042,0.0232307012827242,0.220368873404227,0.1409043015947146,0.0475709619040617,0.1948903970660552,
-0.0112232085674928,0.0539031327708092,0.0879274539244355,0.0165508766140521,0.0708028618546078,-0.0283668805503174,0.0465275794454591,0.0589977418729604,0.070336991110731,0.0522886598158802,0.0663842686860366,0.0873909351364801,0.136980786288576,0.0248947071960231,0.0536212614933374,0.0338441226057618,0.1156679418393374,0.1261164234087394,0.0746448962024893,0.0224421885418839,0.022403662375364,0.2224708373198474,0.1439939941418466,0.0520172022325174,0.2096671191426251,
-0.0126968104039307,0.0525251630967717,0.0873035406642658,0.0156572561669594,0.0680700666701555,-0.0307826651752143,0.0434422379058421,0.0557150782782449,0.0687325432256275,0.048535951555745,0.0616899951533402,0.0846198507583649,0.1355554011908263,0.0223372897641831,0.0510306990108785,0.0305681090617898,0.1181621092565906,0.1247005623942314,0.0755662627041821,0.0230272535408351,0.0213303824550802,0.2233566188731676,0.1459864370478338,0.0553319094398358,0.2224339243154235,
-0.0142146851081324,0.0506616690653621,0.0859906586366415,0.0145766536144315,0.0649355863696313,-0.033567958164726,0.0404008307125762,0.0522801259609471,0.0665932771562618,0.0448032807109285,0.0568403650212808,0.0812689179371771,0.1339806785950935,0.0196535098756313,0.0484243526166693,0.0269884292955716,0.1192011425873164,0.1228291626830031,0.075781368153013,0.0231441479665464,0.0200708387481905,0.2230944420430581,0.14688910985226,0.0575104852401368,0.2331185422847184,
-0.0156873283691405,0.0484361715737132,0.084101990307917,0.0133636913356477,0.061529652711521,-0.0366130018842343,0.0374914289458217,0.0488041907495847,0.0640465841180052,0.0412029359555818,0.0519723172877338,0.0774799078414007,0.1322847429643902,0.0169528459508672,0.0458788792426456,0.0232514295827917,0.1188569494764716,0.1205838816402398,0.0753351858987121,0.0228419263306347,0.0186836478154809,0.2217749108005534,0.1467380873312914,0.0585767550036401,0.2416878602018631,
-0.0170386897031646,0.045969956215934,0.0817559971817718,0.0120710831739601,0.0579781153463886,-0.0398094765278844,0.0347869388861578,0.0453875354978266,0.0612184435426835,0.0378326730226981,0.0472112968812758,0.073393384327899,0.1304875958049752,0.014335011394053,0.0434572305296463,0.0194951693364747,0.1172299882975695,0.1180586054185899,0.0742861626221828,0.0221775328108612,0.0172239842061776,0.2195074011837502,0.1455957584682628,0.0585809875054442,0.248144363752099,
