57_86_beat1,57_85_beat2,57_50_beat3,57_11_beat4,57_11_beat5,57_4_beat6,57_73_beat1,57_76_beat2
-0.0052617895866339,-0.0058804887546732,0.0048996841358343,0.0044236616779495,0.0207570605156441,-0.0144414782140507,,
-0.0049842647162714,-0.0108830759774738,0.0029580866990274,0.0044615655079709,0.0177194233487811,-0.0167004077315622,,
-0.0040361926708121,-0.0154818070759189,0.0014026377809529,0.0048851647418316,0.0147285426486256,-0.0185559299186612,,
-0.0024150695796869,-0.0196139123733337,0.0002728009250115,0.005692248002777,0.0118299639755766,-0.0199627217050935,,
-0.0001303664084095,-0.0232168946779062,-0.0003989595043362,0.0068714874624465,0.0090744023663981,-0.0208814043941997,,
0.0027959248576675,-0.0262303409415869,-0.0005885149906197,0.0084012329254923,0.0065159197131683,-0.0212805986103945,,
0.0063290858270577,-0.0285979112634228,-0.0002811941708755,0.010248571473407,0.0042098111563424,-0.0211387257291966,,
0.0104218394916743,-0.0302694236180253,0.000527363307965,0.0123687245404161,0.0022103001158633,-0.0204454316342718,,
0.0150149068973123,-0.0312029422876623,0.0018306616450932,0.0147048455051126,0.000568154566321,-0.0192025344523555,,
0.0200379505986644,-0.0313667719357941,0.0036111409864051,0.0171882679870761,-0.0006716565575009,-0.0174244315387655,,
,,,,,,-0.0012136481441997,0.0025636373545171
,,,,,,-0.0014648088520368,0.0029498154556768
,,,,,,-0.0017030333628816,0.0036483379894024
,,,,,,-0.0019215815454818,0.0046559462108763
,,,,,,-0.0021139149572214,0.0059629248880697
,,,,,,-0.002273991371756,0.0075535778527169
,,,,,,-0.002396557782219,0.0094069440915399
,,,,,,-0.0024774211822831,0.0114977052685211
,,,,,,-0.002513675962021,0.013797223627659
,,,,,,-0.00250386932859,0.0162746444560063
,,,,,,-0.0024480912005522,0.0188979995867139
,,,,,,-0.0023479813239014,0.0216352561213677
,,,,,,-0.0022066530422834,0.0244552654336562
,,,,,,-0.0020285398609472,0.0273285795891808
,,,,,,-0.0018191773106566,0.0302281141861994
,,,,,,-0.0015849377673432,0.0331296476042922
,,,,,,-0.0013327386080437,0.0360121564297959
,,,,,,-0.0010697438074529,0.0388579951254224
,,,,,,-0.0008030764664328,0.0416529346159329
,,,,,,-0.000539556104624,0.0443860790591158
,,,,,,-0.0002854707937219,0.0470496820303932
,,,,,,-4.639073460749149e-05,0.0496388823693717
,,,,,,0.0001729732069719,0.0521513767765766
,,,,,,0.0003688651543142,0.0545870422794644
,,,,,,0.0005385354261048,0.0569475179615522
,,,,,,0.0006802504192628,0.0592357523653936
,,,,,,0.0007932656103515,0.0614555210144286
,,,,,,0.0008777670161099,0.0636109179815636
,,,,,,0.0009347869676704,0.065705827069695
,,,,,,0.0009661002263957,0.0677433823697555
,,,,,,0.0009741063521571,0.0697254338822492
,,,,,,0.0009617038813391,0.0716520394469093
,,,,,,0.0009321613374299,0.0735210073385183
,,,,,,0.0008889894366387,0.0753275134928347
,,,,,,0.0008358181168356,0.077063813489126
,,,,,,0.0007762812582455,0.0787190631557874
,,,,,,0.0007139112210702,0.0802792546902403
,,,,,,0.0006520446342305,0.0817272691774515
,,,,,,0.000593740258919,0.0830430422180321
,,,,,,0.00054170924103,0.0842038369463272
,,,,,,0.0004982576702447,0.0851846176371635
,,,,,,0.000465241085298,0.085958517283274
,,,,,,0.000444030402153,0.086497393906269
,,,,,,0.0004354886852309,0.08677247229479
,,,,,,0.0004399582165334,0.0867550693458301
,,,,,,0.0004572574237682,0.0864174014049207
,,,,,,0.0004866873832448,0.0857334702140983
,,,,,,0.0005270477908666,0.0846800195367411
,,,,,,0.0005766624685735,0.0832375471860472
,,,,,,0.0006334146180379,0.0813913480300279
,,,,,,0.0006947921239446,0.0791325536905225
,,,,,,0.0007579432244244,0.0764591245733934
,,,,,,0.0008197427889365,0.0733767401218714
,,,,,,0.0008768692621025,0.0698995253047665
,,,,,,0.0009258920397648,0.0660505474143115
,,,,,,0.0009633686417938,0.0618620189341926
,,,,,,0.0009859505430947,0.0573751505719296
,,,,,,0.0009904959356472,0.0526396141712185
,,,,,,0.0009741870435254,0.0477125984861104
,,,,,,0.0009346489302161,0.0426574712446945
,,,,,,0.0008700660603116,0.0375420959246855
,,,,,,0.0007792922486294,0.0324368854472017
,,,,,,0.0006619490963534,0.0274127002170619
,,,,,,0.0005185076262341,0.022538709371298
,,,,,,0.000350347638821,0.0178803311209065
,,,,,,0.0001597893699925,0.0134973539420025
,,,,,,-4.990761534695959e-05,0.0094423198543372
,,,,,,-0.0002745826648075,0.0057592283784721
,,,,,,-0.0005092527185494,0.0024825976978111
,,,,,,-0.0007482332629811,-0.000363100804354
,,,,,,-0.0009853015116479,-0.002763636751353
,,,,,,-0.0012138994719526,-0.0047148615601954
,,,,,,-0.0014273718639675,-0.0062222260933448
,,,,,,-0.0016192308001629,-0.0073000145881067
,,,,,,-0.0017834357621749,-0.0079703410618099
