31_49_beat1,31_9_beat2,31_9_beat3,31_24_beat4,31_24_beat5,31_58_beat6,31_19_beat7,31_26_beat8,31_23_beat9,31_23_beat10,31_68_beat11,31_35_beat12,31_35_beat13,31_20_beat14,31_20_beat15,31_12_beat16,31_44_beat17,31_6_beat18,31_6_beat19,31_60_beat20,31_60_beat21,31_42_beat22,31_42_beat23,31_48_beat24,31_16_beat25,31_37_beat1,31_37_beat2,31_91_beat3,31_18_beat4,31_18_beat5,31_81_beat6,31_98_beat7,31_63_beat8
0.0124762484104249,0.0053874556059663,0.0104761523494458,0.0124600808301589,0.0022317283091936,0.0094561708521804,0.0032356110873147,0.0253000085347532,0.0029462926946943,0.0056658613270928,0.0051785180635616,0.0353675335546948,0.0229507204773239,0.0213982781185836,0.0223523339684954,0.0127245628775644,0.0022928279715315,0.0039158857799337,0.0041753836588728,0.0506820705821706,0.0110102252938811,0.0196607643008073,0.0121213459090405,0.0055093951467328,0.0128959800657694,,,,,,,,
0.0121960690093686,0.0054546449855568,0.0103937575655425,0.0126605357337049,0.0016785363812735,0.0091205170861288,0.0030238121814258,0.024309639944699,0.0029646844371065,0.0058134402204187,0.0049738555251106,0.0351246537909305,0.0230944169910735,0.0210312198142095,0.0225690213984685,0.0129571700443155,0.0024436339133237,0.0040393544252457,0.0040318694059563,0.0510100305158989,0.0112592288269448,0.0197139318120782,0.0121096309982955,0.0055139474561924,0.0121754044247392,,,,,,,,
0.0118673213026918,0.0055092361935684,0.0103201700358969,0.0128114774582743,0.0011170671378836,0.0087557113837201,0.002814598014264,0.0233377041234299,0.0029724751039501,0.0059959842578778,0.0047779080220159,0.0348398686097761,0.0231326297441113,0.020529392797929,0.0227668097176166,0.0131135629198718,0.002687712925534,0.0041274256669884,0.0038514408446189,0.0510962060860391,0.0114260786637995,0.0197438234434686,0.0120508187713406,0.005505623602226,0.0114229228794179,,,,,,,,
0.0114947230013668,0.0055571480367745,0.0102536815290037,0.012919985570745,0.0005555536745718,0.0083676026925049,0.0026066899489301,0.0223972387526718,0.0029714691593389,0.0062128495325117,0.0045934869922955,0.0345143603767989,0.0230681051881402,0.0199023814018995,0.0229435612862508,0.0132009082714878,0.0030394017610978,0.0041812351218253,0.0036404559413895,0.0509415371355936,0.0115124853178741,0.019748931978547,0.0119448809162656,0.005483129671672,0.010651819589942,,,,,,,,
0.0110833115327402,0.0056025891246342,0.0101912860727883,0.012992438655734,1.5915416999870817e-06,0.0079617283252564,0.0023984218331898,0.0214990307523642,0.0029627836140266,0.0064618490584777,0.0044223359964826,0.0341491690128972,0.0229031399211524,0.0191611677959083,0.023095664823448,0.0132270402073421,0.0035082858705452,0.0042018277781721,0.0034048943903416,0.05054924206296,0.0115212418288243,0.0197278369112212,0.0117924534937473,0.0054450161730242,0.0098737598128053,,,,,,,,
0.0106383932662277,0.0056479354583578,0.0101288599783692,0.0130343092522335,-0.0005380066343654,0.0075432579499762,0.0021878495388867,0.0206515103320823,0.0029469170503233,0.0067393657935609,0.0042652329298488,0.0337453091740593,0.0226396691996471,0.0183180371218573,0.0232182931893486,0.0132002349564114,0.0040988397225181,0.0041901578488449,0.0031502503794648,0.0499246198784144,0.0114561003567625,0.0196792691729413,0.0115948906433407,0.0053897627452587,0.0090985970037421,,,,,,,,
0.0101654775391784,0.0056936832941727,0.0100613778364661,0.0130500082328573,-0.0010573488853962,0.0071169445320644,0.0019728623781235,0.0198607076275219,0.00292384190347,0.0070405047363293,0.0041221242143041,0.0333038750117658,0.0222794052644503,0.0173864478756382,0.0233057254783657,0.013128987231474,0.0048101982546984,0.00414709547166,0.0028814518785251,0.0490748467741881,0.0113216194285651,0.0196021640801889,0.0113542815441299,0.0053158658819483,0.0083342438295552,,,,,,,,
0.0096701967958444,0.0057384783907507,0.0099831552008782,0.0130427829036233,-0.0015515892387537,0.006687081909507,0.0017512932407779,0.0191302682027091,0.002893112470981,0.0073592781990308,0.0039922810870373,0.032826126811406,0.0218240143696282,0.0163808663226445,0.0233517163412378,0.0130217922510853,0.0056360620978726,0.0040734388944708,0.002602805208196,0.0480087726733878,0.0111229836517461,0.0194957005093793,0.0110734311639214,0.0052219268655128,0.0075866074631834,,,,,,,,
0.0091582149769087,0.0057792201124533,0.0098881082777178,0.0130146707190112,-0.0020170355423573,0.0062574692531769,0.0015210241650201,0.0184615225579199,0.0028539810622869,0.0076888177637821,0.0038744674067681,0.0323135559418444,0.021275318889384,0.0153165653959046,0.023349892636933,0.012886937230921,0.006564736743934,0.0039699308297629,0.0023179627866679,0.0467367205250246,0.0108657991087543,0.0193593247123605,0.010755807019952,0.0051067369591167,0.0068595880059432,,,,,,,,
0.0086351269624868,0.0058112362350448,0.0097700208881669,0.012966508031098,-0.0024512345450709,0.0058313831398481,0.0012800840609169,0.0178536040116888,0.0028055151247047,0.0080216059826116,0.0037671084302624,0.0317679265808237,0.0206355090829088,0.0142093902705112,0.0232941558031116,0.0127323058237429,0.0075793037799082,0.0038372777791864,0.0020299114040621,0.0452702888484316,0.0105558692794606,0.019192757672145,0.0104054556121387,0.0049693568175711,0.006155137424023,,,,,,,,
0.008106352371369,0.0058285217740169,0.009622809218766,0.0128979908615167,-0.0028530291742025,0.0054115582738023,0.0010267354753824,0.0173036088832426,0.0027467090221202,0.008349720556421,0.0036684507463935,0.0311912944029287,0.0199073481900033,0.0130754945576039,0.0231790678460492,0.0125651985852474,0.0086579206282645,0.0036761713010329,0.001740978138416,0.0436221564161565,0.0101989580736504,0.0189959855033305,0.0100268933225557,0.0048091870618145,0.0054733749857452,,,,,,,,
0.0075770273568443,0.0058240328126846,0.0094407753685155,0.0128077824417906,-0.0032225834491282,0.0050001779882155,0.0007595476145983,0.0168067927327615,0.002676585301407,0.0086650835122922,0.0035767048970826,0.0305860036813481,0.0190943546318658,0.0119310527385475,0.0230001996273356,0.0123921720709503,0.0097742438250657,0.003487310405875,0.001452851059094,0.0418058871180171,0.0098005482268679,0.0187692331557176,0.0096249773681837,0.0046260270249506,0.0048127538320243,,,,,,,,
0.0070518982226231,0.0057900242276242,0.0092188414025464,0.0126936603419846,-0.0035613713116898,0.00459887552187,0.0004774533084023,0.0163567964581767,0.0025942816370058,0.0089597077995152,0.0034901640139728,0.0299546649902517,0.0182009462579293,0.0107919559872848,0.0227544221240929,0.0122188986342708,0.0108979696114827,0.0032714244925619,0.0011666120986361,0.0398357329877558,0.0093656047578858,0.0185129225932226,0.0092047628389609,0.0044201188372002,0.0041702720085098,,,,,,,,
0.0065352207187847,0.0057184184648453,0.0089527564895614,0.012552694507443,-0.0038721268433839,0.0042087467087221,0.0001797881746699,0.015945896236003,0.0024991210647305,0.0092259337676652,0.0034072938726448,0.0293001159152434,0.0172325337908803,0.0096734998289646,0.0224401244446814,0.0120500484143418,0.0119954843786242,0.0030292964489839,0.0008827798337158,0.0377264340244676,0.0088983542558733,0.0182276176717611,0.0087713519648845,0.0041921742931806,0.0035417200568761,,,,,,,,
0.0060306687706596,0.0056011911776608,0.008639270702218,0.0123814465243064,-0.0041587548554364,0.0038303741706879,-0.0001336891257741,0.0155652715706875,0.002390664474203,0.0094566482116237,0.0033267919170897,0.028625366977958,0.0161955537760245,0.0085900730817367,0.0220573464081315,0.0118891944020708,0.0130306161634513,0.0027617857084275,0.000601360320846,0.0354930146600144,0.0084020913374717,0.0179139590718127,0.0083297415685044,0.0039433823600294,0.0029219561511687,,,,,,,,
0.0055412561409851,0.0054307586606937,0.0082762701713365,0.0121761799745833,-0.0044262026278806,0.0034638624231958,-0.0004627960114606,0.0152052860304815,0.0022687455149895,0.0096454791047293,0.0032476148540122,0.0279335345086777,0.0150974352548413,0.0075548581573651,0.0216078182033725,0.0117387408953437,0.0139654768385344,0.0024698511450734,0.0003219045123508,0.0331505783204885,0.007879023597507,0.0175725937644007,0.0078846742198726,0.003675395757084,0.0023051988432206,,,,,,,,
0.0050692741227621,0.0052003516653392,0.0078628694908869,0.0119330718195825,-0.0046802955494445,0.0031088825619472,-0.0008069443416065,0.0148557755592195,0.0021334890032723,0.0097869598190803,0.0031689762150097,0.0272277616397,0.0139464988001742,0.0065795529954776,0.0210949047574747,0.0115998751481903,0.0147613827974004,0.0021545736919423,4.3571078181463805e-05,0.0307141032900019,0.0073301657171261,0.0172041044914423,0.0074404979765795,0.0033902957738534,0.0016853268357074,,,,,,,,
